"Country","Day","Confirmed"
"Taiwan",19.5398692810458,42
"Taiwan",20.5398692810458,42
"Taiwan",21.5398692810458,44
"Taiwan",22.5398692810458,45
"Taiwan",23.5398692810458,45
"Taiwan",24.5398692810458,45
"Taiwan",25.5398692810458,45
"Thailand",-21.4601307189542,2
"Thailand",-20.4601307189542,3
"Thailand",-19.4601307189542,5
"Thailand",-18.4601307189542,7
"Thailand",-17.4601307189542,8
"Thailand",-16.4601307189542,8
"Thailand",-15.4601307189542,14
"Thailand",-14.4601307189542,14
"Thailand",-13.4601307189542,14
"Thailand",-12.4601307189542,19
"Thailand",-11.4601307189542,19
"Thailand",-10.4601307189542,19
"Thailand",-9.46013071895425,19
"Thailand",-8.46013071895425,25
"Thailand",-7.46013071895425,25
"Thailand",-6.46013071895425,25
"Thailand",-5.46013071895425,25
"Thailand",-4.46013071895425,32
"Thailand",-3.46013071895425,32
"Thailand",-2.46013071895425,32
"Thailand",-1.46013071895425,33
"Thailand",-0.460130718954247,33
"Thailand",0.539869281045753,33
"Thailand",1.53986928104575,33
"Thailand",2.53986928104575,33
"Thailand",3.53986928104575,34
"Thailand",4.53986928104575,35
"Thailand",5.53986928104575,35
"Thailand",6.53986928104575,35
"Thailand",7.53986928104575,35
"Thailand",8.53986928104575,35
"Thailand",9.53986928104575,35
"Thailand",10.5398692810458,35
"Thailand",11.5398692810458,35
"Thailand",12.5398692810458,37
"Thailand",13.5398692810458,40
"Thailand",14.5398692810458,40
"Thailand",15.5398692810458,41
"Thailand",16.5398692810458,42
"Thailand",17.5398692810458,42
"Thailand",18.5398692810458,43
"Thailand",19.5398692810458,43
"Thailand",20.5398692810458,43
"Thailand",21.5398692810458,47
"Thailand",22.5398692810458,48
"Thailand",23.5398692810458,50
"Thailand",24.5398692810458,50
"Thailand",25.5398692810458,50
"US",-21.4601307189542,1
"US",-20.4601307189542,1
"US",-19.4601307189542,2
"US",-18.4601307189542,2
"US",-17.4601307189542,5
"US",-16.4601307189542,5
"US",-15.4601307189542,5
"US",-14.4601307189542,5
"US",-13.4601307189542,5
"US",-12.4601307189542,6
"US",-11.4601307189542,8
"US",-10.4601307189542,8
"US",-9.46013071895425,11
"US",-8.46013071895425,11
"US",-7.46013071895425,12
"US",-6.46013071895425,12
"US",-5.46013071895425,12
"US",-4.46013071895425,12
"US",-3.46013071895425,12
"US",-2.46013071895425,12
"US",-1.46013071895425,13
"US",-0.460130718954247,13
"US",0.539869281045753,15
"US",1.53986928104575,15
"US",2.53986928104575,15
"US",3.53986928104575,15
"US",4.53986928104575,15
"US",5.53986928104575,15
"US",6.53986928104575,15
"US",7.53986928104575,15
"US",8.53986928104575,35
"US",9.53986928104575,35
"US",10.5398692810458,35
"US",11.5398692810458,53
"US",12.5398692810458,53
"US",13.5398692810458,59
"US",14.5398692810458,60
"US",15.5398692810458,62
"US",16.5398692810458,70
"US",17.5398692810458,76
"US",18.5398692810458,101
"US",19.5398692810458,122
"US",20.5398692810458,153
"US",21.5398692810458,221
"US",22.5398692810458,278
"US",23.5398692810458,417
"US",24.5398692810458,537
"US",25.5398692810458,605
"Hong Kong",-21.4601307189542,2
"Hong Kong",-20.4601307189542,2
"Hong Kong",-19.4601307189542,5
"Hong Kong",-18.4601307189542,8
"Hong Kong",-17.4601307189542,8
"Hong Kong",-16.4601307189542,8
"Hong Kong",-15.4601307189542,10
"Hong Kong",-14.4601307189542,10
"Hong Kong",-13.4601307189542,12
"Hong Kong",-12.4601307189542,13
"Hong Kong",-11.4601307189542,15
"Hong Kong",-10.4601307189542,15
"Hong Kong",-9.46013071895425,17
"Hong Kong",-8.46013071895425,21
"Hong Kong",-7.46013071895425,24
"Hong Kong",-6.46013071895425,25
"Hong Kong",-5.46013071895425,26
"Hong Kong",-4.46013071895425,29
"Hong Kong",-3.46013071895425,38
"Hong Kong",-2.46013071895425,49
"Hong Kong",-1.46013071895425,50
"Hong Kong",-0.460130718954247,53
"Hong Kong",0.539869281045753,56
"Hong Kong",1.53986928104575,56
"Hong Kong",2.53986928104575,57
"Hong Kong",3.53986928104575,60
"Hong Kong",4.53986928104575,62
"Hong Kong",5.53986928104575,63
"Hong Kong",6.53986928104575,68
"Hong Kong",7.53986928104575,68
"Hong Kong",8.53986928104575,69
"Hong Kong",9.53986928104575,74
"Hong Kong",10.5398692810458,79
"Hong Kong",11.5398692810458,84
"Hong Kong",12.5398692810458,91
"Hong Kong",13.5398692810458,92
"Hong Kong",14.5398692810458,94
"Hong Kong",15.5398692810458,95
"Hong Kong",16.5398692810458,96
"Hong Kong",17.5398692810458,100
"Hong Kong",18.5398692810458,100
"Hong Kong",19.5398692810458,105
"Hong Kong",20.5398692810458,105
"Hong Kong",21.5398692810458,107
"Hong Kong",22.5398692810458,108
"Hong Kong",23.5398692810458,114
"Hong Kong",24.5398692810458,115
"Singapore",-21.4601307189542,1
"Singapore",-20.4601307189542,3
"Singapore",-19.4601307189542,3
"Singapore",-18.4601307189542,4
"Singapore",-17.4601307189542,5
"Singapore",-16.4601307189542,7
"Singapore",-15.4601307189542,7
"Singapore",-14.4601307189542,10
"Singapore",-13.4601307189542,13
"Singapore",-12.4601307189542,16
"Singapore",-11.4601307189542,18
"Singapore",-10.4601307189542,18
"Singapore",-9.46013071895425,24
"Singapore",-8.46013071895425,28
"Singapore",-7.46013071895425,28
"Singapore",-6.46013071895425,30
"Singapore",-5.46013071895425,33
"Singapore",-4.46013071895425,40
"Singapore",-3.46013071895425,45
"Singapore",-2.46013071895425,47
"Singapore",-1.46013071895425,50
"Singapore",-0.460130718954247,58
"Singapore",0.539869281045753,67
"Singapore",1.53986928104575,72
"Singapore",2.53986928104575,75
"Singapore",3.53986928104575,77
"Singapore",4.53986928104575,81
"Singapore",5.53986928104575,84
"Singapore",6.53986928104575,84
"Singapore",7.53986928104575,85
"Singapore",8.53986928104575,85
"Singapore",9.53986928104575,89
"Singapore",10.5398692810458,89
"Singapore",11.5398692810458,91
"Singapore",12.5398692810458,93
"Singapore",13.5398692810458,93
"Singapore",14.5398692810458,93
"Singapore",15.5398692810458,102
"Singapore",16.5398692810458,106
"Singapore",17.5398692810458,108
"Singapore",18.5398692810458,110
"Singapore",19.5398692810458,110
"Singapore",20.5398692810458,117
"Singapore",21.5398692810458,130
"Singapore",22.5398692810458,138
"Singapore",23.5398692810458,150
"Singapore",24.5398692810458,150
"France",-21.4601307189542,2
"France",-20.4601307189542,3
"France",-19.4601307189542,3
"France",-18.4601307189542,3
"France",-17.4601307189542,4
"France",-16.4601307189542,5
"France",-15.4601307189542,5
"France",-14.4601307189542,5
"France",-13.4601307189542,6
"France",-12.4601307189542,6
"France",-11.4601307189542,6
"France",-10.4601307189542,6
"France",-9.46013071895425,6
"France",-8.46013071895425,6
"France",-7.46013071895425,6
"France",-6.46013071895425,11
"France",-5.46013071895425,11
"France",-4.46013071895425,11
"France",-3.46013071895425,11
"France",-2.46013071895425,11
"France",-1.46013071895425,11
"France",-0.460130718954247,11
"France",0.539869281045753,12
"France",1.53986928104575,12
"France",2.53986928104575,12
"France",3.53986928104575,12
"France",4.53986928104575,12
"France",5.53986928104575,12
"France",6.53986928104575,12
"France",7.53986928104575,12
"France",8.53986928104575,12
"France",9.53986928104575,12
"France",10.5398692810458,14
"France",11.5398692810458,18
"France",12.5398692810458,38
"France",13.5398692810458,57
"France",14.5398692810458,100
"France",15.5398692810458,130
"France",16.5398692810458,191
"France",17.5398692810458,204
"France",18.5398692810458,285
"France",19.5398692810458,377
"France",20.5398692810458,653
"France",21.5398692810458,949
"France",22.5398692810458,1126
"France",23.5398692810458,1209
"Australia",-21.4601307189542,4
"Australia",-20.4601307189542,4
"Australia",-19.4601307189542,5
"Australia",-18.4601307189542,5
"Australia",-17.4601307189542,5
"Australia",-16.4601307189542,9
"Australia",-15.4601307189542,9
"Australia",-14.4601307189542,12
"Australia",-13.4601307189542,12
"Australia",-12.4601307189542,12
"Australia",-11.4601307189542,13
"Australia",-10.4601307189542,13
"Australia",-9.46013071895425,14
"Australia",-8.46013071895425,15
"Australia",-7.46013071895425,15
"Australia",-6.46013071895425,15
"Australia",-5.46013071895425,15
"Australia",-4.46013071895425,15
"Australia",-3.46013071895425,15
"Australia",-2.46013071895425,15
"Australia",-1.46013071895425,15
"Australia",-0.460130718954247,15
"Australia",0.539869281045753,15
"Australia",1.53986928104575,15
"Australia",2.53986928104575,15
"Australia",3.53986928104575,15
"Australia",4.53986928104575,15
"Australia",5.53986928104575,19
"Australia",6.53986928104575,22
"Australia",7.53986928104575,22
"Australia",8.53986928104575,22
"Australia",9.53986928104575,22
"Australia",10.5398692810458,22
"Australia",11.5398692810458,23
"Australia",12.5398692810458,23
"Australia",13.5398692810458,25
"Australia",14.5398692810458,27
"Australia",15.5398692810458,30
"Australia",16.5398692810458,39
"Australia",17.5398692810458,52
"Australia",18.5398692810458,55
"Australia",19.5398692810458,60
"Australia",20.5398692810458,63
"Australia",21.5398692810458,76
"Australia",22.5398692810458,91
"Malaysia",-21.4601307189542,3
"Malaysia",-20.4601307189542,4
"Malaysia",-19.4601307189542,4
