"Country","Day","Confirmed"
"Nepal",6.31594936708861,1
"Canada",5.31594936708861,7
"Cambodia",4.31594936708861,1
"Sri Lanka",4.31594936708861,1
"Germany",3.31594936708861,16
"Finland",2.31594936708861,1
"United Arab Emirates",2.31594936708861,9
"India",1.31594936708861,3
"Italy",0.315949367088606,3
"Russia",0.315949367088606,2
"Sweden",0.315949367088606,1
"UK",0.315949367088606,9
"Spain",-0.684050632911394,2
"Belgium",-3.68405063291139,1
"Others",-6.68405063291139,355
"Egypt",-13.6840506329114,1
"Hong Kong",9.31594936708861,60
"Japan",10.3159493670886,66
"Macau",10.3159493670886,10
"Mainland China",10.3159493670886,72364
"South Korea",10.3159493670886,30
"Taiwan",10.3159493670886,22
"Thailand",10.3159493670886,35
"US",10.3159493670886,15
"Australia",7.31594936708861,15
"Malaysia",7.31594936708861,22
"Philippines",2.31594936708861,3
"Singapore",9.31594936708861,77
"Vietnam",9.31594936708861,16
"France",8.31594936708861,12
"Nepal",7.31594936708861,1
"Canada",6.31594936708861,8
"Cambodia",5.31594936708861,1
"Sri Lanka",5.31594936708861,1
"Germany",4.31594936708861,16
"Finland",3.31594936708861,1
"United Arab Emirates",3.31594936708861,9
"India",2.31594936708861,3
"Italy",1.31594936708861,3
"Russia",1.31594936708861,2
"Sweden",1.31594936708861,1
"UK",1.31594936708861,9
"Spain",0.315949367088606,2
"Belgium",-2.68405063291139,1
"Others",-5.68405063291139,454
"Egypt",-12.6840506329114,1
"Hong Kong",10.3159493670886,62
"Japan",11.3159493670886,74
"Macau",11.3159493670886,10
"Mainland China",11.3159493670886,74139
"South Korea",11.3159493670886,31
"Taiwan",11.3159493670886,22
"Thailand",11.3159493670886,35
"US",11.3159493670886,15
"Australia",8.31594936708861,15
"Malaysia",8.31594936708861,22
"Philippines",3.31594936708861,3
"Singapore",10.3159493670886,81
"Vietnam",10.3159493670886,16
"France",9.31594936708861,12
"Nepal",8.31594936708861,1
"Canada",7.31594936708861,8
"Cambodia",6.31594936708861,1
"Sri Lanka",6.31594936708861,1
"Germany",5.31594936708861,16
"Finland",4.31594936708861,1
"United Arab Emirates",4.31594936708861,9
"India",3.31594936708861,3
"Italy",2.31594936708861,3
"Russia",2.31594936708861,2
"Sweden",2.31594936708861,1
"UK",2.31594936708861,9
"Spain",1.31594936708861,2
"Belgium",-1.68405063291139,1
"Others",-4.68405063291139,542
"Egypt",-11.6840506329114,1
"Hong Kong",11.3159493670886,63
"Japan",12.3159493670886,84
"Macau",12.3159493670886,10
"Mainland China",12.3159493670886,74546
"South Korea",12.3159493670886,31
"Taiwan",12.3159493670886,23
"Thailand",12.3159493670886,35
"US",12.3159493670886,15
"Australia",9.31594936708861,15
"Malaysia",9.31594936708861,22
"Philippines",4.31594936708861,3
"Singapore",11.3159493670886,84
"Vietnam",11.3159493670886,16
"France",10.3159493670886,12
"Nepal",9.31594936708861,1
"Canada",8.31594936708861,8
"Cambodia",7.31594936708861,1
"Sri Lanka",7.31594936708861,1
"Germany",6.31594936708861,16
"Finland",5.31594936708861,1
"United Arab Emirates",5.31594936708861,9
"India",4.31594936708861,3
"Italy",3.31594936708861,3
"Russia",3.31594936708861,2
"Sweden",3.31594936708861,1
"UK",3.31594936708861,9
"Spain",2.31594936708861,2
"Belgium",-0.684050632911394,1
"Others",-3.68405063291139,621
"Egypt",-10.6840506329114,1
"Iran",-15.6840506329114,2
"Hong Kong",12.3159493670886,68
"Japan",13.3159493670886,94
"Macau",13.3159493670886,10
"Mainland China",13.3159493670886,74999
"South Korea",13.3159493670886,104
"Taiwan",13.3159493670886,24
"Thailand",13.3159493670886,35
"US",13.3159493670886,15
"Australia",10.3159493670886,15
"Malaysia",10.3159493670886,22
"Philippines",5.31594936708861,3
"Singapore",12.3159493670886,84
"Vietnam",12.3159493670886,16
"France",11.3159493670886,12
"Nepal",10.3159493670886,1
"Canada",9.31594936708861,8
"Cambodia",8.31594936708861,1
"Sri Lanka",8.31594936708861,1
"Germany",7.31594936708861,16
"Finland",6.31594936708861,1
"United Arab Emirates",6.31594936708861,9
"India",5.31594936708861,3
"Italy",4.31594936708861,3
"Russia",4.31594936708861,2
"Sweden",4.31594936708861,1
"UK",4.31594936708861,9
"Spain",3.31594936708861,2
"Belgium",0.315949367088606,1
"Others",-2.68405063291139,634
"Egypt",-9.68405063291139,1
"Iran",-14.6840506329114,5
"Hong Kong",13.3159493670886,68
"Japan",14.3159493670886,105
"Macau",14.3159493670886,10
"Mainland China",14.3159493670886,75472
"South Korea",14.3159493670886,204
"Taiwan",14.3159493670886,26
"Thailand",14.3159493670886,35
"US",14.3159493670886,35
"Australia",11.3159493670886,19
"Malaysia",11.3159493670886,22
"Philippines",6.31594936708861,3
"Singapore",13.3159493670886,85
"Vietnam",13.3159493670886,16
"France",12.3159493670886,12
"Nepal",11.3159493670886,1
"Canada",10.3159493670886,9
"Cambodia",9.31594936708861,1
"Sri Lanka",9.31594936708861,1
"Germany",8.31594936708861,16
"Finland",7.31594936708861,1
"United Arab Emirates",7.31594936708861,9
"India",6.31594936708861,3
"Italy",5.31594936708861,20
"Russia",5.31594936708861,2
"Sweden",5.31594936708861,1
"UK",5.31594936708861,9
"Spain",4.31594936708861,2
"Belgium",1.31594936708861,1
"Others",-1.68405063291139,634
"Egypt",-8.68405063291139,1
"Iran",-13.6840506329114,18
"Israel",-15.6840506329114,1
"Lebanon",-15.6840506329114,1
"Hong Kong",14.3159493670886,69
"Japan",15.3159493670886,122
"Macau",15.3159493670886,10
"Mainland China",15.3159493670886,76922
"South Korea",15.3159493670886,433
"Taiwan",15.3159493670886,26
"Thailand",15.3159493670886,35
"US",15.3159493670886,35
"Australia",12.3159493670886,22
"Malaysia",12.3159493670886,22
"Philippines",7.31594936708861,3
